objectid,election_name,election_date,ward,total_votes,registered_voters_as_of,registered_voters,turnout
1,2023 General,2023/11/07,01,5446,2023/11/07,13137,0.415
2,2023 General,2023/11/07,02,8943,2023/11/07,20641,0.433
3,2023 General,2023/11/07,03,4113,2023/11/07,13325,0.309
4,2023 General,2023/11/07,04,3602,2023/11/07,13207,0.273
5,2023 General,2023/11/07,05,12581,2023/11/07,37477,0.336
6,2023 General,2023/11/07,06,2543,2023/11/07,9631,0.264
7,2023 General,2023/11/07,07,1528,2023/11/07,12391,0.123
8,2023 General,2023/11/07,08,12915,2023/11/07,34873,0.37
9,2023 General,2023/11/07,09,6720,2023/11/07,12399,0.542
10,2023 General,2023/11/07,10,6360,2023/11/07,16954,0.375
11,2023 General,2023/11/07,11,2176,2023/11/07,9302,0.234
12,2023 General,2023/11/07,12,4441,2023/11/07,15187,0.292
13,2023 General,2023/11/07,13,3780,2023/11/07,13492,0.28
14,2023 General,2023/11/07,14,1875,2023/11/07,6626,0.283
15,2023 General,2023/11/07,15,6844,2023/11/07,14757,0.464
16,2023 General,2023/11/07,16,1572,2023/11/07,7531,0.209
17,2023 General,2023/11/07,17,4860,2023/11/07,15240,0.319
18,2023 General,2023/11/07,18,5231,2023/11/07,15531,0.337
19,2023 General,2023/11/07,19,1399,2023/11/07,8857,0.158
20,2023 General,2023/11/07,20,1550,2023/11/07,7491,0.207
21,2023 General,2023/11/07,21,13994,2023/11/07,35229,0.397
22,2023 General,2023/11/07,22,8571,2023/11/07,17186,0.499
23,2023 General,2023/11/07,23,2830,2023/11/07,14210,0.199
24,2023 General,2023/11/07,24,2687,2023/11/07,11677,0.23
25,2023 General,2023/11/07,25,2654,2023/11/07,13008,0.204
26,2023 General,2023/11/07,26,5352,2023/11/07,13631,0.393
27,2023 General,2023/11/07,27,3991,2023/11/07,19112,0.209
28,2023 General,2023/11/07,28,1905,2023/11/07,7769,0.245
29,2023 General,2023/11/07,29,2775,2023/11/07,8560,0.324
30,2023 General,2023/11/07,30,6172,2023/11/07,15617,0.395
31,2023 General,2023/11/07,31,4524,2023/11/07,13211,0.342
32,2023 General,2023/11/07,32,2929,2023/11/07,13495,0.217
33,2023 General,2023/11/07,33,1819,2023/11/07,13272,0.137
34,2023 General,2023/11/07,34,8836,2023/11/07,25363,0.348
35,2023 General,2023/11/07,35,4537,2023/11/07,18546,0.245
36,2023 General,2023/11/07,36,7981,2023/11/07,23704,0.337
37,2023 General,2023/11/07,37,1762,2023/11/07,8947,0.197
38,2023 General,2023/11/07,38,4562,2023/11/07,12944,0.352
39,2023 General,2023/11/07,39,8884,2023/11/07,26073,0.341
40,2023 General,2023/11/07,40,7334,2023/11/07,28589,0.257
41,2023 General,2023/11/07,41,2577,2023/11/07,12525,0.206
42,2023 General,2023/11/07,42,3116,2023/11/07,16178,0.193
43,2023 General,2023/11/07,43,2194,2023/11/07,12738,0.172
44,2023 General,2023/11/07,44,2517,2023/11/07,9535,0.264
45,2023 General,2023/11/07,45,3668,2023/11/07,14513,0.253
46,2023 General,2023/11/07,46,6224,2023/11/07,15763,0.395
47,2023 General,2023/11/07,47,1451,2023/11/07,7077,0.205
48,2023 General,2023/11/07,48,3675,2023/11/07,12784,0.287
49,2023 General,2023/11/07,49,4394,2023/11/07,15771,0.279
50,2023 General,2023/11/07,50,8672,2023/11/07,18804,0.461
51,2023 General,2023/11/07,51,4324,2023/11/07,14867,0.291
52,2023 General,2023/11/07,52,6638,2023/11/07,17266,0.384
53,2023 General,2023/11/07,53,3260,2023/11/07,12559,0.26
54,2023 General,2023/11/07,54,1796,2023/11/07,9108,0.197
55,2023 General,2023/11/07,55,2979,2023/11/07,12975,0.23
56,2023 General,2023/11/07,56,6014,2023/11/07,21077,0.285
57,2023 General,2023/11/07,57,5809,2023/11/07,16694,0.348
58,2023 General,2023/11/07,58,9548,2023/11/07,28012,0.341
59,2023 General,2023/11/07,59,5171,2023/11/07,15058,0.343
60,2023 General,2023/11/07,60,3927,2023/11/07,12883,0.305
61,2023 General,2023/11/07,61,5404,2023/11/07,17354,0.311
62,2023 General,2023/11/07,62,3070,2023/11/07,15748,0.195
63,2023 General,2023/11/07,63,6272,2023/11/07,15256,0.411
64,2023 General,2023/11/07,64,2537,2023/11/07,8649,0.293
65,2023 General,2023/11/07,65,4710,2023/11/07,14102,0.334
66,2023 General,2023/11/07,66,10136,2023/11/07,27833,0.364
67,2023 Primary,2023/05/16,01,5173,2023/05/16,13040,0.397
68,2023 Primary,2023/05/16,02,8502,2023/05/16,20384,0.417
69,2023 Primary,2023/05/16,03,3584,2023/05/16,13187,0.272
70,2023 Primary,2023/05/16,04,3272,2023/05/16,13164,0.249
71,2023 Primary,2023/05/16,05,11153,2023/05/16,36973,0.302
72,2023 Primary,2023/05/16,06,2362,2023/05/16,9577,0.247
73,2023 Primary,2023/05/16,07,1311,2023/05/16,12348,0.106
